"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"L1A","20240417_2222","20240417_2222_18420_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18421_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18422_10","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18423_8","","","0","","L1"
